,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
467,-0.96244968,-0.27146017,0.19611614,-0.98058068,-0.27074558,-0.96265094,-0.99886814,0.04756515,0.89442719,-0.4472136,0.31353902,-0.94957532,0.38723248,-0.92198211,-0.98801203,-0.15437688,-0.11684125,-0.9931506,-0.45828913,-0.88880317,0.67375386,-0.73895584,0.28216632,-0.9593655
468,-0.98427121,-0.17666406,-0.20165292,-0.97945704,-0.37139068,-0.92847669,-0.99469179,-0.10289915,None,None,0.30511119,-0.95231673,0.39502775,-0.91866919,-0.99062113,-0.1366374,-0.24904104,-0.96849293,-0.4472136,-0.89442719,0.69098124,-0.72287269,0.22680784,-0.97393953
469,-0.9975751,-0.06959826,-0.2228248,-0.97485851,None,None,0.0,0.0,None,None,0.28734789,-0.95782629,0.38846083,-0.92146524,-0.98639392,-0.16439899,-0.31232107,-0.9499766,-0.44150765,-0.89725748,0.57801734,-0.81602448,0.19866243,-0.98006798
470,0.0,0.0,-0.04872255,-0.99881235,None,None,0.0,0.0,None,None,0.25589256,-0.96670523,0.34030457,-0.94031527,-0.99503719,-0.09950372,-0.30521868,-0.95228229,-0.4472136,-0.89442719,0.50387103,-0.8637789,0.18349711,-0.98302025
471,-0.99971667,0.02380278,-0.15370701,-0.98811647,None,None,-0.98710548,0.16007116,None,None,0.23162053,-0.97280621,0.31353902,-0.94957532,0.0,0.0,-0.33406799,-0.94254898,-0.53781569,-0.84306244,0.49613894,-0.86824314,0.19363303,-0.98107403
472,-0.99778516,0.06651901,-0.17666406,-0.98427121,None,None,-0.97945704,-0.20165292,None,None,0.17643339,-0.98431258,0.2816897,-0.95950556,0.0,0.0,-0.33707261,-0.94147866,-0.53505208,-0.84481908,0.49613894,-0.86824314,0.10093122,-0.99489341
473,-0.99875234,0.04993762,-0.53176813,-0.84688999,None,None,0.0,0.0,None,None,0.11529735,-0.99333102,0.1927453,-0.98124882,-0.99792531,0.06438228,-0.33707261,-0.94147866,-0.57993129,-0.81466539,0.48144479,-0.87647642,0.05787385,-0.9983239
474,-0.99188166,0.12716432,-0.388057,-0.92163538,None,None,-0.37139068,0.92847669,None,None,0.06023525,-0.99818421,0.13780308,-0.99045965,-0.98058068,0.19611614,-0.31275064,-0.94983527,-0.70710678,-0.70710678,0.47187678,-0.88166451,0.17078672,-0.98530802
475,-0.98811647,0.15370701,0.29408585,-0.95577901,None,None,0.0,0.0,None,None,0.03446228,-0.999406,0.15205718,-0.9883717,-0.98177985,0.19002191,-0.22651349,-0.97400803,-0.78935222,-0.61394061,0.40492616,-0.91434939,0.44215328,-0.89693951
476,-0.99778516,0.06651901,0.30320366,0.95292578,None,None,0.32432432,0.94594595,None,None,0.02478577,-0.99969279,0.14714115,-0.9891155,-0.99503719,0.09950372,-0.2704323,-0.96273899,-0.70020867,-0.71393825,0.46213909,-0.88680745,0.5518669,-0.83393221
477,-0.99896854,0.04540766,0.38074981,0.9246781,None,None,-0.0464614,0.99892009,None,None,-0.03446228,-0.999406,0.11881057,-0.99291694,-0.99926117,0.03843312,-0.32566691,-0.94548457,-0.43746572,-0.89923509,0.53838928,-0.84269626,0.57723582,-0.8165775
478,-0.9974587,0.07124705,0.92847669,0.37139068,None,None,-0.41575976,0.90947448,None,None,-0.09688716,-0.99529537,0.08738375,-0.99617472,-0.99549547,0.09480909,-0.29706655,-0.95485678,-0.27006543,-0.96284197,0.52999894,-0.8479983,0.5386617,-0.84252215
479,-0.99227788,0.12403473,0.99450545,0.10468478,None,None,-0.74899656,0.66257388,None,None,-0.13549109,-0.99077857,0.05728284,-0.99835799,-0.99920096,0.03996804,-0.3648737,-0.93105702,-0.23383841,-0.97227548,0.4472136,-0.89442719,0.50469659,-0.86329679
