,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
414,-0.37139068,-0.92847669,0.52549288,0.850798,0.07124705,-0.9974587,0.38963999,0.92096725,0.01666435,-0.99986114,0.74740932,-0.66436384,0.96532205,-0.26106194,-0.95072984,-0.3100206,0.34752791,-0.93766964,-0.78526917,-0.61915453,0.49301257,-0.87002219,0.11043153,-0.99388373
415,-0.36417424,-0.93133084,0.53525103,0.84469304,0.07124705,-0.9974587,0.39711207,0.91777012,0.04993762,-0.99875234,0.74544759,-0.66656425,0.96490461,-0.26260062,-0.95072984,-0.3100206,0.35327334,-0.93552015,-0.78894357,-0.61446566,0.48860337,-0.87250602,0.11043153,-0.99388373
416,-0.36417424,-0.93133084,0.53525103,0.84469304,0.08697079,-0.99621086,0.41182148,0.91126455,0.09950372,-0.99503719,0.74544759,-0.66656425,0.96490461,-0.26260062,-0.95072984,-0.3100206,0.35327334,-0.93552015,-0.78894357,-0.61446566,0.48613423,-0.87388415,0.11107313,-0.99381224
417,-0.36417424,-0.93133084,0.54117832,0.84090786,0.08697079,-0.99621086,0.41182148,0.91126455,0.0760503,-0.99710398,0.74544759,-0.66656425,0.96490461,-0.26260062,-0.95072984,-0.3100206,0.35112344,-0.93632918,-0.78894357,-0.61446566,0.48860337,-0.87250602,0.11043153,-0.99388373
418,-0.36417424,-0.93133084,0.54498835,0.83844362,0.08766123,-0.99615034,0.41575976,0.90947448,0.02630668,-0.99965392,0.74544759,-0.66656425,0.96643768,-0.25690116,-0.95373921,-0.30063519,0.35112344,-0.93632918,-0.78234868,-0.6228407,0.48613423,-0.87388415,0.10408276,-0.99456864
419,-0.35698479,-0.9341102,0.54884086,0.83592685,0.07239022,-0.99737639,0.42993358,0.90286052,-0.01754116,-0.99984614,0.74937484,-0.66214602,0.9690435,-0.24689006,-0.95072984,-0.3100206,0.34689587,-0.93790365,-0.77259224,-0.63490253,0.48613423,-0.87388415,0.09209253,-0.99575045
420,-0.36730141,-0.93010197,0.54884086,0.83592685,0.06438228,-0.99792531,0.44042499,0.89778941,-0.03506614,-0.99938499,0.74586689,-0.66609503,0.9690435,-0.24689006,-0.95072984,-0.3100206,0.35327334,-0.93552015,-0.77259224,-0.63490253,0.48415641,-0.87498147,0.09209253,-0.99575045
421,-0.37543276,-0.92684963,0.5428995,0.83979767,0.05636188,-0.99841041,0.48351805,0.87533439,-0.04381752,-0.99903955,0.7403021,-0.67227434,0.9701425,-0.24253563,-0.95466245,-0.29769044,0.35544782,-0.93469612,-0.76884488,-0.63943534,0.47514891,-0.8799054,0.09779487,-0.99520659
422,-0.37543276,-0.92684963,0.55273628,0.83335623,0.05636188,-0.99841041,0.49613894,0.86824314,-0.07000328,-0.99754676,0.73848549,-0.67426936,0.96827732,-0.24987802,-0.95170862,-0.30700278,0.35544782,-0.93469612,-0.76570486,-0.64319209,0.47514891,-0.8799054,0.09209253,-0.99575045
423,-0.37543276,-0.92684963,0.55860038,0.82943693,0.05636188,-0.99841041,0.49613894,0.86824314,-0.07000328,-0.99754676,0.74048613,-0.67207165,0.96827732,-0.24987802,-0.9486833,-0.31622777,0.35327334,-0.93552015,-0.76570486,-0.64319209,0.47514891,-0.8799054,0.09779487,-0.99520659
424,-0.37543276,-0.92684963,0.56047815,0.82816921,0.05636188,-0.99841041,0.49343455,0.86978293,-0.10468478,-0.99450545,0.74229576,-0.67007239,0.96827732,-0.24987802,-0.94968876,-0.31319523,0.35544782,-0.93469612,-0.76570486,-0.64319209,0.47058824,-0.88235294,0.09779487,-0.99520659
425,-0.37543276,-0.92684963,0.55860038,0.82943693,0.0479448,-0.99884999,0.48351805,0.87533439,-0.11429041,-0.99344738,0.73848549,-0.67426936,0.96633901,-0.25727207,-0.94968876,-0.31319523,0.35544782,-0.93469612,-0.76250914,-0.64697745,0.47058824,-0.88235294,0.09156771,-0.99579885
426,-0.37543276,-0.92684963,0.5547002,0.83205029,0.03996804,-0.99920096,0.48351805,0.87533439,-0.12295375,-0.9924124,0.73848549,-0.67426936,0.96827732,-0.24987802,-0.95170862,-0.30700278,0.35897908,-0.93334561,-0.75493376,-0.65580105,0.46843251,-0.88349928,0.08588834,-0.99630477
